"ПАРК 
Первая Ассоциация Ритейла Крыма",1,park,"Ассоциация ПАРК работает на крымском рынке уже более 18 лет. В 2001 году в Симферополе мы открыли первый салон мобильных телефонов под торговой маркой Mobilization, а за последние годы в Крыму появилось более 60 магазинов ПАРК. Кроме того, мы являемся эксклюзивным представителем компании Samsung в Крыму. В 2011 году Компания провела ребрендинг, на мобайл рынке появился ПАРК цифровых технологий. Название выбрано не случайно, ведь мы неразрывно связываем себя с Крымом, а полуостров АРК – это ПАРК, место, где хорошо. В 2017 году мы открыли фирменный магазин Park Store с самым большим ассортиментом продукции Apple. В 2018 году к нам присоединилась сеть магазинов RuStore, объединив под своим брендом свои и наши магазины. ПАРК стремительно развивается сам и нацелен развивать Крым, своих Сотрудников, Гостей и Партнеров. В 2018 году в Семье магазинов ПАРК появился новый бренд - сеть маркетов семейного гостеприимства Корзина.
Наша миссия: мы развиваем Крым.
Наши ценности: счастливые Гости, кайф от работы, доверие друг к другу, ответственность и активная забота.
ПАРК - это 4 сети магазинов ( ПАРК, RU Store, Samsung и продуктовая розничная сеть Корзина).
ПАРК - это более 70 магазинов.
ПАРК - это более 800 Сотрудников.
ПАРК - здесь хорошо!"
Группа Компаний АВТОДЕЛЬ,1,avtodel,"Группа компаний «Автодель» основана в 1993 году и является крупнейшим оператором автомобильного рынка в Крыму.
Мировые бренды (BMW, Hyundai, Renault, Peugeot, Nissan, Toyota, Lexus, Citroën, Mitsubishi, DFM, ГАЗ) представлены в салонах Симферополя и Севастополя. 
Компания предлагает полный спектр услуг по приобретению, оформлению, страхованию и обслуживанию автомобилей, обмену автомобилей по системе trade-in,
а также осуществляет оптовые и розничные продажи запчастей по Крыму.
Группа компаний «Автодель»  зарекомендовала себя как качественный налогоплательщик и честный работодатель с развитой корпоративной культурой. "
Сеть заведений АВТОКАФЕ,1,autocafe,"АвтоКафе - это сеть заведений Фаст-Фуда в Крыму.
На данный момент в сети насчитывается 8 заведений - 4 в Симферополе, 2 в Ялте и по одному в Севастополе и в Евпатории.
В компании работает порядка 300 чел.
Мы даем возможность начать карьеру без опыта работы, обучаем сами всем процедурам. Можно работать по гибкому графику, что дает возможность совмещать учебу с работой.
Мы соблюдаем все требования российского законодательства, предоставляем оплачиваемые отпуска, оплачиваем больничные, выплачиваем полностью ""белую"" зарплату."
Инкерманский завод марочных вин INKERMAN,1,inkerman,"Инкерманский завод марочных вин был создан в 1961 году. 
INKERMAN сегодня:
• Одно из крупнейших винодельческих предприятий Крыма;  
• 2 производственные площадки максимальной мощностью до 70 млн. бутылок в год; 
• собственная сырьевая база – около 3000 га виноградников; 
• уникальные винные галереи площадью 55 000 кв. м; 
• 326 золотых и серебряных медалей; 
• входит в ТОП-20 по узнаваемости среди винных брендов в России.
Наши ценности: Люди. Приверженность традициям виноградарства и виноделия. Результативность. Качество. Уважение. Открытость и прозрачность. Внедрение инновация. Забота об окружающей среде.
INKERMAN как работодатель:
• стабильная «белая» компания, где соблюдаются все нормы ТК РФ; 
• проявляем заботу о своих сотрудниках и их детях; 
• заботимся о развитии своих сотрудников (проект «Академия Инкерман», профессиональное обучение и повышение квалификации); 
• социально ответственное; 
• развиваем внутрикорпоративную культуру (признание заслуг «Золотые кадры Инкерман», интеллектуальная викторина «Inker Brain», пишем о себе «Новостной дайджест»);
• градообразующее предприятие с общим штатом более 400 человек, поддерживаем преемственность традиций и приветствуем семейные династии."
Сеть гипермаркетов НОВАЦЕНТР,1,novacentr,"Сеть гипермаркетов «НОВАЦЕНТР» - это крупнейший представитель формата DIY (Do It Yourself – «сделай сам») в Крыму. На сегодняшний день сеть «НОВАЦЕНТР» представлена тремя гипермаркетами в Симферополе и Севастополе общей торговой площадью более 61800 кв.м.
В гипермаркетах сети представлены товарные категории всевозможных направлений, насчитывающих более 140.000 наименований товара, среди которых можно выделить: общестроительные и отделочные материалы, двери, мебель, кухни, бакалея, всевозможное сантехническое оборудование, аксессуары для уюта, товары для спорта, товары для сада и огорода, игрушки, канцтовары и многое другое
 ООО «НОВАЦЕНТР К» - это более 1200 сотрудников в трех гипермаркетах в г. Симферополь и г.Севастополь. Мы заботимся о сотрудниках, обеспечивая их питанием, спецодеждой, билетами на культурно-развлекательные мероприятия, семинары, конференции и тренинги для личного и профессионального роста. Сотрудники гипермаркетов участвуют в благотворительных акциях и городских мероприятиях. Также компания заботится о здоровом образе жизни своих сотрудников, поощряя их занятия спортом."
"Торговый Дом 
ТЭС",1,tes,"Торговый Дом «ТЭС» начал свое существование еще в 1992 году, когда была зарегистрирована торговая марка «TES». 
На сегодня торговый дом «ТЭС» включает в себя 62 заправки, 2 собственные нефтебазы, предприятие по хранению и перевалке сжиженного газа, светлых и темных нефтепродуктов «ТЭС-терминал», железнодорожное предприятие и суда морской логистики. В сети «TES» также находятся несколько отелей, и линий дистрибуции продуктов питания.
Наш бизнес - это в первую очередь ЛЮДИ, которым мы продаем топливо, а не топливо, которое мы продаем людям! Мы динамично развиваемся на протяжении 26 лет! Мы компания со своими традициями,  миссией, ценностями, характером! 
Мы даем возможность нашим сотрудникам повышать квалификацию и проявлять свой потенциал на разных этапах карьерного роста. У нас профессиональное и грамотное руководство, которое всегда открыто для общения с персоналом. Мы заботимся о своих сотрудниках, помогая им в различных жизненных ситуациях. И, конечно же, даем им возможность не только хорошо зарабатывать, а также активно отдыхать в нашей дружной, сплоченной команде!  "
"Торговый Центр
МЕТРО",1,metro,"Наивысшая  ценность компании - люди!!! 
Компания создает максимально благоприятные условия работы, в которых каждый сотрудник стремится работать эффективно. Мы команда вовлеченных единомышленников и заряженных на успех профессионалов!!!"
Группа Компаний ВЛАДОГРАД,1,vladograd,"Строительная компания «Владоград» в Крыму с положительной динамикой развития, созданная профессионалами с большим опытом в строительстве.
С момента создания в 2007 году, мы нацелены на долгосрочное и успешное развитие.
В группу компаний входят застройщики, собственные бетонные заводы, специализированное автопредприятие с автопарком строительной техники количеством более 120 единиц, цех по производству металлоконструкций любой сложности, архитектурно-проектное бюро и компания по управлению активами. 
С 2007 года введено в эксплуатацию более 520 000 м2 жилья! Нашим приоритетом являются показатели профессиональной работы, достижение высокого качества путем использования передовых технологий, строгое соблюдение сроков строительства. Если вы хотите купить квартиру в Крыму, новостройки от застройщика «Владоград» — правильное выгодное решение.
Управление персоналом в нашей компании строится на трех основных принципах: первое это дисциплина, второе это здоровая дружеская атмосфера в коллективе и третье это выполнение поставленных задач на 101%. Нашим людям нравится, в первую очередь, хорошая атмосфера в течении рабочего процесса, поэтому с дисциплиной и выполнением задач проблем не возникает."
 Крымская Сырная Компания,1,ksk,"ООО Крымская Сырная Компания была основана в далеком 2000году. Из крошечной организации, благодаря бизнес-видению, упорству и кропотливой работе владельцев компании за несколько лет ООО Крымская Сырная Компания вышла на позицию лидера по дистрибуции сыра и масла в Крыму. Политика компании заключается в соблюдении главных ценностей : 
• прозрачность действий
• системность
• проактивность
• креативность
• профессионализм
А также одной из важнейших ценностей компании являются сотрудники, которые не ставят границы в профессиональном росте.
Именно поэтому ООО Крымская Сырная Компания не опускает лидерские позиции в дистрибуции в занимаемой нише, а также развивается быстрыми, но продуманными темпами. На данный момент компания имеет свою торговую марку «Крымская Коровка», которая за короткий промежуток завоевала лояльность потребителей сырного рынка Крыма и вышла с успешными продажами на материк.
Компания намерена идти вперед к новым достижениям, ведь главная миссия нашей компании : 
Предвосхищать ожидания партнеров, оказывая наилучший дистрибьюторский сервис."
Группа компаний МОНОЛИТ,1,monolit,"Группа компаний «Монолит» - лидер строительной отрасли Крыма по объему сдачи жилья в 2019 году.
Миссия компании – мы строим жилье в котором комфортно жить и компанию, в которой комфортно работать.
По итогам ежегодного опроса сотрудников 88 % порекомендуют компанию как работодателя, а в числе факторов, которыми довольны больше всего уверенно называют:
- стабильность, надежность, официальные условия работы и выполнение обязательств по отношению к сотрудникам;
- благоприятная атмосфера, отношения в коллективе и с руководством;
- комфортные условия работы и хорошая заработная плата;
- интересные задачи, возможность развиваться;
В компании действует сбалансированная и комплексная система мотивации, в составе которой:
- полный социальный пакет;
- страхование от несчастного случая;
- 11 инструментов для развития и обучения;
- бонусы и премии;
- современный офис в кухней-столовой;
- возможность реализовывать свои инициативы и участвовать в проектах;
- корпоративное волонтерство;
-конкурс «Лучший результат»
- корпоративные события и праздники;"
